CopyNo X Y Z Orientation_theta Orientation_phi
50109 5608.138 -4074.55 19348.18 19.7115 -36
50110 6390.353 -4644.41 18964.02 22.6151 -36.0091
50111 6562.745 -2921.89 19245.05 20.4696 -23.9998
50112 7238.114 -3222.58 18954.88 22.6848 -23.9998
50113 7026.829 -1493.57 19245.05 20.4696 -11.9998
50114 7749.956 -1647.27 18954.88 22.6848 -11.9998
50115 7183.807 0.0268 19245.05 20.4696 0.0002
50116 7923.089 0.0296 18954.88 22.6848 0.0002
50117 7026.818 1493.624 19245.05 20.4696 12.0002
50118 7749.944 1647.332 18954.88 22.6848 12.0002
50119 6562.723 2921.942 19245.05 20.4696 24.0002
50120 7238.09 3222.638 18954.88 22.6848 24.0002
50121 5608.137 4074.551 19348.18 19.7115 36
50122 6391.82 4642.386 18964.02 22.6151 35.9909
50123 4806.885 5338.627 19245.05 20.4696 48.0002
50124 5301.559 5888.022 18954.88 22.6848 48.0002
50125 3591.88 6221.372 19245.05 20.4696 60.0002
50126 3961.519 6861.611 18954.88 22.6848 60.0002
50127 2219.893 6832.214 19245.05 20.4696 72.0002
50128 2448.341 7535.314 18954.88 22.6848 72.0002
50129 750.8856 7144.456 19245.05 20.4696 84.0002
50130 828.1588 7879.688 18954.88 22.6848 84.0002
50131 -750.939 7144.45 19245.05 20.4696 96.0002
50132 -828.218 7879.682 18954.88 22.6848 96.0002
50133 -2142.12 6592.761 19348.18 19.7115 108
50134 -2439.99 7513.558 18964.02 22.6151 107.9909
50135 -3591.93 6221.346 19245.05 20.4696 120.0002
50136 -3961.57 6861.581 18954.88 22.6848 120.0002
50137 -4806.92 5338.591 19245.05 20.4696 132.0002
50138 -5301.6 5887.983 18954.88 22.6848 132.0002
50139 -5811.84 4222.514 19245.05 20.4696 144.0002
50140 -6409.93 4657.051 18954.88 22.6848 144.0002
50141 -6562.74 2921.893 19245.05 20.4696 156.0002
50142 -7238.11 3222.583 18954.88 22.6848 156.0002
50143 -7026.83 1493.571 19245.05 20.4696 168.0002
50144 -7749.96 1647.274 18954.88 22.6848 168.0002
50145 -9282.19 -200 18316.94 26.8792 -178.7657
50146 -10214 0 17805.96 29.8398 -180
