#Position file for Large PMT in CD     
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250425.     
"#Have installed 17596 CD-LPMT  more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F"     
#CopyNo X Y Z Orientation_theta Orientation_phi
112 -799.875 -3418.14 19114.31 10.4068 -103.1707
113 -268.725 -3500.18 19114.31 10.4068 -94.3902
114 268.7244 -3500.18 19114.31 10.4068 -85.6098
115 799.8747 -3418.14 19114.31 10.4068 -76.8293
116 1312.277 -3255.98 19114.31 10.4068 -68.0488
117 1793.92 -3017.5 19114.31 10.4068 -59.2683
118 2233.516 -2708.3 19114.31 10.4068 -50.4878
119 2620.759 -2335.61 19114.31 10.4068 -41.7073
120 2946.575 -1908.18 19114.31 10.4068 -32.9268
121 3203.325 -1436.03 19114.31 10.4068 -24.1464
122 3384.992 -930.212 19114.31 10.4068 -15.3659
123 3487.317 -402.594 19114.31 10.4068 -6.5854
124 3507.903 134.4607 19114.31 10.4068 2.1951
125 3446.267 668.3638 19114.31 10.4068 10.9756
126 3303.853 1186.601 19114.31 10.4068 19.7561
127 3083.999 1677.025 19114.31 10.4068 28.5366
128 2791.859 2128.141 19114.31 10.4068 37.3171
129 2434.28 2529.376 19114.31 10.4068 46.0976
130 2019.644 2871.324 19114.31 10.4068 54.8781
131 1557.669 3145.97 19114.31 10.4068 63.6585
132 1059.184 3346.878 19114.31 10.4068 72.439
133 535.8721 3469.338 19114.31 10.4068 81.2195
134 0 3510.479 19114.31 10.4068 90
135 -535.872 3469.338 19114.31 10.4068 98.7805
136 -1059.18 3346.878 19114.31 10.4068 107.5609
137 -1557.67 3145.971 19114.31 10.4068 116.3415
138 -2019.64 2871.324 19114.31 10.4068 125.1219
139 -2434.28 2529.376 19114.31 10.4068 133.9024
140 -2791.86 2128.142 19114.31 10.4068 142.6829
141 -3084 1677.025 19114.31 10.4068 151.4634
142 -3303.85 1186.601 19114.31 10.4068 160.2439
143 -3446.27 668.364 19114.31 10.4068 169.0244
144 -3507.9 134.4609 19114.31 10.4068 177.8049
145 -4031.63 -116.809 19010.86 11.9782 -178.3404
146 -3967.82 -723.967 19010.86 11.9782 -169.6596
147 -3835.92 -1246.37 19010.86 11.9782 -161.9999
148 -3635.57 -1746.52 19010.86 11.9782 -154.3405
149 -3330.32 -2275.23 19010.86 11.9782 -145.6596
150 -2997.34 -2698.82 19010.86 11.9782 -138
151 -2610.88 -3074.25 19010.86 11.9782 -130.3404
152 -2116.98 -3433.09 19010.86 11.9782 -121.6596
153 -1640.5 -3684.63 19010.86 11.9782 -114
154 -1134.75 -3870.41 19010.86 11.9782 -106.3404
155 -537.59 -3997.34 19010.86 11.9782 -97.6596
156 0 -4033.33 19010.86 11.9782 -90
157 537.5898 -3997.34 19010.86 11.9782 -82.3404
158 1134.751 -3870.41 19010.86 11.9782 -73.6596
159 1640.501 -3684.63 19010.86 11.9782 -66
160 2116.977 -3433.09 19010.86 11.9782 -58.3404
161 2610.883 -3074.25 19010.86 11.9782 -49.6596
162 2997.345 -2698.82 19010.86 11.9782 -42
163 3330.319 -2275.23 19010.86 11.9782 -34.3404
164 3635.57 -1746.52 19010.86 11.9782 -25.6595
165 3835.92 -1246.37 19010.86 11.9782 -18.0001
166 3967.819 -723.967 19010.86 11.9782 -10.3404
167 4031.634 -116.809 19010.86 11.9782 -1.6596
168 4011.23 421.5973 19010.86 11.9782 6
169 3919.247 952.4804 19010.86 11.9782 13.6596
170 3730.591 1533.103 19010.86 11.9782 22.3404
171 3492.962 2016.663 19010.86 11.9782 30
172 3193.001 2464.235 19010.86 11.9782 37.6596
