PMTID_sim Type X Y Z Theta Phi PMTID RelativeDEV Gain TimeOffset DarkRateV MeanGain
47 HighQENNVT -546.7917 -2395.6521 19278.0244 7.264 -102.8571 330330624 0.266973 0.936919 9.85406 18493.0 1.10629
48 HighQENNVT 0.0 -2457.2607 19278.0244 7.264 -90.0 330334720 0.236502 0.975094 12.9871 16910.9 1.11364
49 HighQENNVT 546.792 -2395.6521 19278.0244 7.264 -77.1429 330338816 0.247747 0.974477 11.7311 19382.2 1.10049
50 HighQENNVT 1066.1655 -2213.9154 19278.0244 7.264 -64.2857 330342912 0.24557 0.988896 7.08609 18870.8 1.10552
51 HighQENNVT 1532.0771 -1921.1638 19278.0244 7.264 -51.4286 330347008 0.243611 0.970123 10.7311 15604.3 1.10885
52 HighQENNVT 1921.1639 -1532.077 19278.0244 7.264 -38.5714 330351104 0.256614 0.954666 13.8391 19118.0 1.10633
53 HighQENNVT 2213.9155 -1066.1654 19278.0244 7.264 -25.7143 330355200 0.250613 0.965065 10.2171 19022.5 1.11589
54 HighQENNVT 2395.6521 -546.7918 19278.0244 7.264 -12.8571 330359296 0.256233 0.979288 10.9171 19781.9 1.09855
55 NNVT 2457.2607 0.0 19278.0244 7.264 0.0 330363392 0.268402 0.97753 13.3631 15760.1 1.10037
56 HighQENNVT 2395.6521 546.7919 19278.0244 7.264 12.8571 330367488 0.241243 0.978563 15.8201 15804.0 1.10191
57 HighQENNVT 2213.9154 1066.1655 19278.0244 7.264 25.7143 330371584 0.263834 0.956144 9.53409 19906.2 1.11222
58 HighQENNVT 1921.1638 1532.077 19278.0244 7.264 38.5714 330375680 0.251678 0.977603 8.77808 18590.9 1.11028
59 HighQENNVT 1532.077 1921.1638 19278.0244 7.264 51.4286 330379776 0.256117 0.965987 7.25906 19366.8 1.09985
60 HighQENNVT 1066.1654 2213.9154 19278.0244 7.264 64.2857 330383872 0.27125 0.966697 15.7331 19391.4 1.09474
61 HighQENNVT 546.7918 2395.6521 19278.0244 7.264 77.1429 330387968 0.248109 0.974402 13.6801 12492.6 1.10184
62 HighQENNVT 0.0 2457.2607 19278.0244 7.264 90.0 330392064 0.240644 0.979553 12.7341 15271.4 1.11055
63 HighQENNVT -546.7919 2395.652 19278.0244 7.264 102.8571 330396160 0.239489 0.973188 7.42508 17465.0 1.1006
64 HighQENNVT -1066.1654 2213.9152 19278.0244 7.264 115.7143 330400256 0.224676 0.969861 14.8451 19964.4 1.10562
65 HighQENNVT -1532.077 1921.1636 19278.0244 7.264 128.5714 330404352 0.253909 0.969503 7.84909 19465.5 1.10435
66 HighQENNVT -1921.1638 1532.0768 19278.0244 7.264 141.4286 330408448 0.243802 0.965937 14.1341 14691.1 1.12663
67 HighQENNVT -2213.9154 1066.1653 19278.0244 7.264 154.2857 330412544 0.244521 0.963867 13.4101 17955.3 1.10563
